pass_no,evaluate
1,20
2,23
3,19
4,19
5,20
6,20
7,20
8,25
9,22
10,20
11,20
12,22
13,21
14,26
15,20
16,23
17,21
18,20
19,25
20,24
21,20
22,20
23,20
24,20
25,24
26,20
27,20
28,25
29,26
30,20
31,24
32,20
33,23
34,22
35,24
36,20
37,25
38,25
39,23
40,20
41,18
42,19
43,20
44,24
45,22
46,19
47,24
48,19
49,21
50,22
51,25
52,26
53,24
54,20
55,24
56,24
57,20
58,26
59,24
60,25
61,20
62,20
63,24
64,22
65,25
66,24
67,23
68,19
69,19
70,21
71,21
72,23
73,21
74,23
75,21
76,23
77,23
78,18
79,19
80,20
81,25
82,20
83,20
84,19
85,26
86,26
87,20
88,20
89,20
90,23
91,20
92,20
93,19
94,22
95,25
96,20
97,20
98,24
99,21
100,20
101,20
102,19
103,22
104,24
105,22
106,23
107,20
108,22
109,20
110,26
111,19
112,20
113,21
114,20
115,24
116,20
117,20
118,22
119,21
120,23
121,20
122,19
123,21
124,20
125,25
126,22
127,20
128,22
129,26
130,23
131,26
132,19
133,24
134,22
135,24
136,19
137,26
138,23
139,20
140,25
141,20
142,19
143,20
144,20
145,21
146,22
147,20
148,20
149,20
150,20
151,18
152,18
153,19
154,19
155,19
156,19
157,19
158,19
159,19
160,19
161,19
162,19
163,19
164,19
165,19
166,19
167,19
168,19
169,19
170,19
171,20
172,19
173,20
174,19
175,20
176,20
177,20
178,20
179,19
180,19
181,20
182,20
183,19
184,20
185,20
186,19
187,19
188,18
189,19
190,24
191,19
192,20
193,19
194,19
195,20
196,19
197,19
198,20
199,20
200,19
201,19
202,20
203,20
204,19
205,19
206,18
207,20
208,20
209,19
210,20
211,20
212,19
213,20
214,19
215,20
216,19
217,19
218,20
219,20
220,19
221,19
222,20
223,20
224,18
225,20
226,19
227,19
228,20
229,19
230,19
231,19
232,19
233,20
234,20
235,19
236,19
237,18
238,19
239,20
240,20
241,20
242,20
243,20
244,19
245,18
246,20
247,18
248,19
249,20
250,20
251,20
252,19
253,17
254,21
255,20
256,19
257,20
258,18
259,19
260,20
261,20
262,19
263,20
264,20
265,20
266,20
267,20
268,20
269,20
270,20
271,20
272,19
273,19
274,19
275,18
276,19
277,19
278,19
279,19
280,19
281,20
282,20
283,19
284,19
285,19
286,21
287,20
288,18
289,20
290,20
291,20
292,20
293,20
294,19
295,19
296,19
297,19
298,18
299,20
300,19
